clients,queue_size,run,client_id,avg_latency_ns,p50_latency_ns,p99_latency_ns
1,4,1,0,1823.25,1821.89,2311.91
1,4,2,0,1738.69,1732.78,2192.8
1,4,3,0,1778.24,1772.79,2314.63
2,4,1,0,2116.44,2128.25,2466.45
2,4,1,1,2068.25,2077.34,2429.17
2,4,2,0,2117.36,2129.18,2515.56
2,4,2,1,2004.18,2008.27,2409.19
2,4,3,0,2155.54,2157.35,2518.28
2,4,3,1,2050.99,2056.44,2423.73
4,4,1,0,3266.94,3228.3,3730.13
4,4,1,1,3137.84,3136.48,3643.77
4,4,1,2,3185.57,3184.66,3704.68
4,4,1,3,3127.39,3122.84,3651.95
4,4,2,0,3373.31,3357.4,3832.87
4,4,2,1,3181.03,3172.85,3663.78
4,4,2,2,3243.76,3240.12,3789.24
4,4,2,3,3181.48,3182.85,3683.78
4,4,3,0,3305.13,3310.13,3784.69
4,4,3,1,3145.57,3141.94,3636.5
4,4,3,2,3194.21,3190.12,3702.87
4,4,3,3,3185.58,3176.48,3665.59
8,4,1,0,3696.06,3698.34,4103.81
8,4,1,1,3731.07,3730.16,4170.18
8,4,1,2,3648.79,3647.43,4050.17
8,4,1,3,3718.79,3719.25,4139.27
8,4,1,4,3700.61,3701.06,4118.36
8,4,1,5,3733.79,3737.43,4171.08
8,4,1,6,3724.25,3722.88,4155.63
8,4,1,7,3676.06,3672.88,4133.81
8,4,2,0,3766.48,3725.57,4145.59
8,4,2,1,3777.85,3771.03,4225.59
8,4,2,2,3638.3,3638.3,4060.13
8,4,2,3,3763.76,3756.48,4199.22
8,4,2,4,3698.75,3698.3,4146.49
8,4,2,5,3735.12,3736.48,4195.59
8,4,2,6,3724.21,3724.66,4179.22
8,4,2,7,3755.57,3749.21,4231.95
8,4,3,0,3918.76,3782.84,4648.32
8,4,3,1,3911.94,3822.84,4749.24
8,4,3,2,3762.84,3674.66,4578.32
8,4,3,3,3908.76,3821.93,4769.24
8,4,3,4,3823.3,3742.84,4627.41
8,4,3,5,3932.39,3839.21,4792.87
8,4,3,6,3851.48,3769.21,4647.41
8,4,3,7,3829.21,3744.66,4681.96
16,4,1,0,5168.83,5062.01,5619.3
16,4,1,1,5234.29,5112.92,5689.3
16,4,1,2,5097.46,5098.37,5668.39
16,4,1,3,5167.92,5169.28,5757.49
16,4,1,4,5097.01,5098.37,5659.3
16,4,1,5,5148.83,5149.28,5735.67
16,4,1,6,5099.74,5103.83,5674.76
16,4,1,7,5122.92,5128.37,5704.76
16,4,1,8,5071.55,5074.73,5642.94
16,4,1,9,5109.28,5116.55,5688.39
16,4,1,10,5078.83,5086.55,5638.39
16,4,1,11,5151.56,5158.37,5732.03
16,4,1,12,5096.1,5104.74,5673.85
16,4,1,13,5151.1,5157.46,5730.21
16,4,1,14,5112.92,5116.55,5681.12
16,4,1,15,5107.01,5111.1,5699.3
16,4,2,0,5006.09,4872.91,5480.2
16,4,2,1,4914.73,4914.73,5512.93
16,4,2,2,4918.36,4915.63,5516.57
16,4,2,3,4979.27,4966.55,5583.84
16,4,2,4,4894.73,4897.45,5496.57
16,4,2,5,4948.36,4944.73,5560.2
16,4,2,6,4890.63,4894.73,5484.75
16,4,2,7,4933.36,4932.91,5536.57
16,4,2,8,4905.63,4909.27,5504.75
16,4,2,9,4944.73,4946.55,5558.39
16,4,2,10,4901.54,4905.63,5494.75
16,4,2,11,4964.27,4955.64,5558.39
16,4,2,12,4915.63,4920.18,5509.29
16,4,2,13,4969.73,4974.73,5577.48
16,4,2,14,4917,4922.91,5517.48
16,4,2,15,4954.27,4955.64,5582.93
16,4,3,0,5174.27,5049.27,5663.84
16,4,3,1,5192.46,5072.91,5702.02
16,4,3,2,5062,5066.54,5678.38
16,4,3,3,5153.36,5157.46,5785.66
16,4,3,4,5104.27,5107.45,5718.38
16,4,3,5,5130.64,5120.18,5745.66
16,4,3,6,5080.18,5080.18,5681.11
16,4,3,7,5110.18,5104.73,5712.93
16,4,3,8,5064.27,5065.63,5668.38
16,4,3,9,5121.55,5109.27,5730.2
16,4,3,10,5048.82,5055.63,5658.38
16,4,3,11,5143.36,5144.73,5776.57
16,4,3,12,5085.63,5090.18,5697.47
16,4,3,13,5146.09,5150.18,5783.84
16,4,3,14,5096.09,5098.36,5715.66
16,4,3,15,5088.82,5092,5727.48
32,4,1,0,10452.3,9703.13,12615.1
32,4,1,1,9981.32,9752.22,12673.3
32,4,1,2,9917.68,9687.67,12575.1
32,4,1,3,10048.1,9804.95,12786
32,4,1,4,9975.41,9748.59,12675.1
32,4,1,5,10055.4,9834.04,12785.1
32,4,1,6,9960.87,9732.22,12676
32,4,1,7,10043.1,9817.68,12737.8
32,4,1,8,9956.78,9722.22,12626.9
32,4,1,9,10034.5,9787.68,12691.4
32,4,1,10,9969.96,9723.13,12720.5
32,4,1,11,10025.4,9798.59,12760.5
32,4,1,12,10023.6,9771.31,12684.2
32,4,1,13,10068.6,9824.95,12752.3
32,4,1,14,9964.05,9723.13,12623.2
32,4,1,15,10011.8,9761.31,12695.1
32,4,1,16,9992.69,9754.95,12614.2
32,4,1,17,10045.9,9822.22,12775.1
32,4,1,18,9936.32,9711.31,12630.5
32,4,1,19,9978.14,9753.13,12630.5
32,4,1,20,9910.41,9684.04,12562.3
32,4,1,21,9991.32,9770.4,12680.5
32,4,1,22,9954.5,9725.86,12636.9
32,4,1,23,10076.8,9842.23,12812.3
32,4,1,24,9940.87,9715.86,12618.7
32,4,1,25,10002.7,9778.59,12725.1
32,4,1,26,9979.05,9746.77,12746.9
32,4,1,27,10021.3,9790.41,12687.8
32,4,1,28,10015.4,9789.5,12733.3
32,4,1,29,10078.6,9839.5,12821.4
32,4,1,30,10013.6,9783.13,12734.2
32,4,1,31,10036.3,9782.22,12715.1
32,4,2,0,34081.9,32658.6,35818.8
32,4,2,1,32444.1,32595.9,36540.6
32,4,2,2,32229.5,32326.8,35064.2
32,4,2,3,32501.8,32647.7,35741.5
32,4,2,4,32152.2,32415.9,35460.6
32,4,2,5,32652.7,32956.8,35969.7
32,4,2,6,31835.4,31978.6,35104.2
32,4,2,7,32304.1,32548.6,35717.8
32,4,2,8,32531.3,32721.4,35877.8
32,4,2,9,32492.3,32745,36317.9
32,4,2,10,32315.4,32517.7,36185.1
32,4,2,11,32447.3,32640.4,36123.3
32,4,2,12,31863.6,32073.1,35260.5
32,4,2,13,32990.9,33205,36838.8
32,4,2,14,32175.9,32235.9,35082.4
32,4,2,15,32344.1,32578.6,36242.4
32,4,2,16,31926.8,32170.4,35160.5
32,4,2,17,32407.7,32515,36762.4
32,4,2,18,32336.8,32539.5,36322.4
32,4,2,19,32515,32807.7,36063.3
32,4,2,20,32942.7,33021.4,37053.4
32,4,2,21,32535.4,32739.5,36100.6
32,4,2,22,32579.5,32646.8,37606.1
32,4,2,23,32031.3,32140.4,35615.1
32,4,2,24,32395.4,32468.6,36151.5
32,4,2,25,31775,31967.7,35305.1
32,4,2,26,32707.3,32900.5,36106
32,4,2,27,32256.8,32482.3,35313.3
32,4,2,28,32215.9,32407.7,35606.9
32,4,2,29,32447.7,32637.7,36118.8
32,4,2,30,32604.1,32905.9,35782.4
32,4,2,31,32328.6,32468.6,35836
32,4,3,0,11623.6,10604,15920.6
32,4,3,1,11094,10666.7,15856
32,4,3,2,11087.2,10643.1,15844.2
32,4,3,3,11146.3,10699.5,16026
32,4,3,4,11105.9,10662.2,16051.5
32,4,3,5,11143.1,10689.5,16074.2
32,4,3,6,11063.6,10616.7,15809.7
32,4,3,7,11169,10687.7,16021.5
32,4,3,8,11114.9,10642.2,16066
32,4,3,9,11196.8,10735.8,16132.4
32,4,3,10,11080.9,10631.3,15906.9
32,4,3,11,11134,10680.4,16132.4
32,4,3,12,11057.2,10608.6,15933.3
32,4,3,13,11120.9,10676.7,15996.9
32,4,3,14,11041.3,10593.1,15885.1
32,4,3,15,11180.4,10733.1,16138.8
32,4,3,16,11069,10626.7,15927.8
32,4,3,17,11139.5,10701.3,16031.5
32,4,3,18,11075.9,10621.3,15998.8
32,4,3,19,11185.4,10732.2,16142.4
32,4,3,20,11131.3,10665.8,16024.2
32,4,3,21,11206.3,10745.8,16168.8
32,4,3,22,11123.6,10672.2,15936
32,4,3,23,11121.8,10672.2,16028.8
32,4,3,24,11098.1,10642.2,16151.5
32,4,3,25,11104.9,10657.7,15938.8
32,4,3,26,11065.9,10604.9,15919.7
32,4,3,27,11180.4,10743.1,16102.4
32,4,3,28,11059.9,10608.6,15950.6
32,4,3,29,11114,10657.7,15978.8
32,4,3,30,11079.5,10613.1,15910.6
32,4,3,31,11150.4,10660.4,16110.6
64,4,1,0,44592.1,40667.9,46251.7
64,4,1,1,44376.6,40529.7,44958
64,4,1,2,40714.2,40724.2,45788.1
64,4,1,3,40787.4,40678.8,45058.9
64,4,1,4,40756.5,40751.5,46057.2
64,4,1,5,40558.8,40575.1,44410.7
64,4,1,6,40801.1,40787,45073.5
64,4,1,7,40731.1,40751.5,44894.4
64,4,1,8,40633.3,40664.2,44449.8
64,4,1,9,40553.8,40589.7,44873.5
64,4,1,10,40747.9,40768.8,44759.8
64,4,1,11,40608.8,40637,44472.6
64,4,1,12,40522.4,40557.9,44268
64,4,1,13,40601.1,40594.2,45061.7
64,4,1,14,40733.8,40791.5,44888
64,4,1,15,40490.1,40502.4,44813.5
64,4,1,16,40644.7,40659.7,44754.4
64,4,1,17,40700.6,40690.6,44651.7
64,4,1,18,40646.5,40597.9,45843.5
64,4,1,19,40583.3,40602.4,45712.6
64,4,1,20,40735.1,40763.3,45551.7
64,4,1,21,40602.4,40592.4,47279.9
64,4,1,22,40796.1,40821.5,44790.8
64,4,1,23,40577,40585.1,45405.3
64,4,1,24,40606.5,40620.6,45780.8
64,4,1,25,40592,40592.4,45427.1
64,4,1,26,40572.9,40594.2,44779.8
64,4,1,27,40570.1,40600.6,44530.7
64,4,1,28,40686.1,40704.2,45059.9
64,4,1,29,40472,40470.6,44875.3
64,4,1,30,40846.5,40878.8,45329.9
64,4,1,31,40589.7,40621.5,44464.4
64,4,1,32,40621.5,40619.7,44894.4
64,4,1,33,40682.9,40695.1,45120.8
64,4,1,34,40818.8,40847,45584.4
64,4,1,35,40492.9,40529.7,44181.6
64,4,1,36,40670.6,40679.7,46264.4
64,4,1,37,40450.1,40471.5,44391.6
