time_sec,clients,run,throughput
1,1,1,2978370
2,1,1,3019941
3,1,1,3043548
4,1,1,3008152
5,1,1,3046198
6,1,1,3041202
7,1,1,3043252
8,1,1,3028566
9,1,1,3047781
10,1,1,3043636
11,1,1,3045851
12,1,1,2998029
13,1,1,3046064
14,1,1,3045528
15,1,1,3049619
16,1,1,3047011
17,1,1,3047834
18,1,1,2992561
19,1,1,3047390
20,1,1,3046438
21,1,1,3048572
22,1,1,3049927
23,1,1,3047119
24,1,1,3044398
25,1,1,3044896
26,1,1,3011093
27,1,1,3043366
28,1,1,2983718
29,1,1,3046963
30,1,1,3045460
31,1,1,3048536
32,1,1,3042871
33,1,1,3047058
34,1,1,3044391
35,1,1,3049812
36,1,1,3043981
37,1,1,3049413
38,1,1,3047250
39,1,1,3050730
40,1,1,3045185
41,1,1,3048327
42,1,1,2985767
43,1,1,3034264
44,1,1,3020150
45,1,1,3050584
46,1,1,3049145
47,1,1,3047684
48,1,1,3031691
49,1,1,3050739
50,1,1,3047283
51,1,1,3049741
52,1,1,3047088
53,1,1,3050307
54,1,1,3049368
55,1,1,3047099
56,1,1,3037636
57,1,1,3052331
58,1,1,3045369
59,1,1,3048267
60,1,1,3047690
61,1,1,4074
1,1,2,3035759
2,1,2,3106099
3,1,2,3107104
4,1,2,3106307
5,1,2,3105103
6,1,2,3106561
7,1,2,3107375
8,1,2,3108841
9,1,2,3110119
10,1,2,3108138
11,1,2,3070844
12,1,2,3095208
13,1,2,3087550
14,1,2,3109566
15,1,2,3072056
16,1,2,3084049
17,1,2,3108666
18,1,2,3113647
19,1,2,3112832
20,1,2,3113985
21,1,2,3102035
22,1,2,3113732
23,1,2,3109609
24,1,2,3112480
25,1,2,3109885
26,1,2,3108366
27,1,2,3112538
28,1,2,3111998
29,1,2,3093807
30,1,2,3111764
31,1,2,3093115
32,1,2,3113176
33,1,2,3073526
34,1,2,3083829
35,1,2,3071720
36,1,2,3087971
37,1,2,3070238
38,1,2,3072549
39,1,2,3090475
40,1,2,3109312
41,1,2,3092232
42,1,2,3111270
43,1,2,3104264
44,1,2,3110323
45,1,2,3109813
46,1,2,3107848
47,1,2,3107605
48,1,2,3107645
49,1,2,3105185
50,1,2,3108360
51,1,2,3071580
52,1,2,3051449
53,1,2,3070682
54,1,2,3074936
55,1,2,3078422
56,1,2,3109804
57,1,2,3110794
58,1,2,3107195
59,1,2,3098552
60,1,2,3112945
61,1,2,3479
1,1,3,2612691
2,1,3,2876806
3,1,3,2877202
4,1,3,2859179
5,1,3,2926732
6,1,3,3012403
7,1,3,3009472
8,1,3,3010662
9,1,3,3013901
10,1,3,2994774
11,1,3,3000711
12,1,3,3045183
13,1,3,3009244
14,1,3,3011065
15,1,3,3011224
16,1,3,3004389
17,1,3,3011067
18,1,3,3066120
19,1,3,3071403
20,1,3,3071373
21,1,3,3072027
22,1,3,3054401
23,1,3,3010467
24,1,3,2994302
25,1,3,2952239
26,1,3,3067853
27,1,3,3070355
28,1,3,3072382
29,1,3,3070400
30,1,3,3070127
31,1,3,3072470
32,1,3,3059818
33,1,3,3003582
34,1,3,2992732
35,1,3,2941886
36,1,3,2942124
37,1,3,2941628
38,1,3,2924744
39,1,3,2872659
40,1,3,2874567
41,1,3,2874791
42,1,3,2874063
43,1,3,2874481
44,1,3,2873647
45,1,3,2873650
46,1,3,2936333
47,1,3,2994162
48,1,3,3057312
49,1,3,3007930
50,1,3,2996884
51,1,3,2997856
52,1,3,3071944
53,1,3,3072475
54,1,3,3058964
55,1,3,3009629
56,1,3,3010969
57,1,3,3007182
58,1,3,3006172
59,1,3,3007770
60,1,3,2992804
61,1,3,2858
1,2,1,4272731
2,2,1,4283250
3,2,1,4284890
4,2,1,4284516
5,2,1,4283932
6,2,1,4283093
7,2,1,4282331
8,2,1,4284296
9,2,1,4281305
10,2,1,4282850
11,2,1,4283894
12,2,1,4282526
13,2,1,4284884
14,2,1,4283265
15,2,1,4286449
16,2,1,4284726
17,2,1,4285283
18,2,1,4284483
19,2,1,4285329
20,2,1,4284114
21,2,1,4284136
22,2,1,4283325
23,2,1,4284773
24,2,1,4282738
25,2,1,4283793
26,2,1,4282456
27,2,1,4283732
28,2,1,4282073
29,2,1,4282694
30,2,1,4283341
31,2,1,4282692
32,2,1,4282117
33,2,1,4280938
34,2,1,4283480
35,2,1,4282568
36,2,1,4282396
37,2,1,4282851
38,2,1,4279438
39,2,1,4281543
40,2,1,4282174
41,2,1,4284017
42,2,1,4281125
43,2,1,4281511
44,2,1,4282250
45,2,1,4282768
46,2,1,4279216
47,2,1,4280207
48,2,1,4281892
49,2,1,4280573
50,2,1,4279136
51,2,1,4283032
52,2,1,4281556
53,2,1,4281914
54,2,1,4280251
55,2,1,4282685
56,2,1,4280898
57,2,1,4282985
58,2,1,4283771
59,2,1,4284180
60,2,1,4283583
61,2,1,6141
1,2,2,4308231
2,2,2,4316008
3,2,2,4316393
4,2,2,4320827
5,2,2,4318834
6,2,2,4318648
7,2,2,4319619
8,2,2,4320710
9,2,2,4318513
10,2,2,4320954
11,2,2,4318549
12,2,2,4321238
13,2,2,4318896
14,2,2,4320677
15,2,2,4318858
16,2,2,4318870
17,2,2,4320425
18,2,2,4321494
19,2,2,4319654
20,2,2,4320478
21,2,2,4320233
22,2,2,4318679
23,2,2,4321607
24,2,2,4321125
25,2,2,4320515
26,2,2,4323101
27,2,2,4320894
28,2,2,4321336
29,2,2,4320088
30,2,2,4320207
31,2,2,4321654
32,2,2,4324334
33,2,2,4322331
34,2,2,4323708
35,2,2,4321129
36,2,2,4324631
37,2,2,4322935
38,2,2,4323537
39,2,2,4323573
40,2,2,4322643
41,2,2,4321182
42,2,2,4324363
43,2,2,4320738
44,2,2,4322653
45,2,2,4322110
46,2,2,4320904
47,2,2,4321338
48,2,2,4323902
49,2,2,4319750
50,2,2,4323060
51,2,2,4321235
52,2,2,4323984
53,2,2,4321708
54,2,2,4320422
55,2,2,4319558
56,2,2,4320905
57,2,2,4319921
58,2,2,4321702
59,2,2,4321200
60,2,2,4323268
61,2,2,4827
1,2,3,4391801
2,2,3,4234568
3,2,3,4236164
4,2,3,4233569
5,2,3,4237384
6,2,3,4233896
7,2,3,4235744
8,2,3,4234467
9,2,3,4236556
10,2,3,4234319
11,2,3,4237364
12,2,3,4235930
13,2,3,4235614
14,2,3,4234197
15,2,3,4237053
16,2,3,4234694
17,2,3,4235608
18,2,3,4235476
19,2,3,4236728
20,2,3,4234481
21,2,3,4234993
22,2,3,4234936
23,2,3,4237280
24,2,3,4234163
25,2,3,4235433
26,2,3,4233400
27,2,3,4236499
28,2,3,4233314
29,2,3,4235869
30,2,3,4234847
31,2,3,4236827
32,2,3,4233780
33,2,3,4234962
34,2,3,4234019
35,2,3,4238587
36,2,3,4232366
37,2,3,4235870
38,2,3,4232708
39,2,3,4234804
40,2,3,4233288
41,2,3,4236017
42,2,3,4233643
43,2,3,4237039
44,2,3,4233982
45,2,3,4234254
46,2,3,4234046
47,2,3,4238098
48,2,3,4234102
49,2,3,4236483
50,2,3,4234111
51,2,3,4236629
52,2,3,4234611
53,2,3,4235881
54,2,3,4234328
55,2,3,4235292
56,2,3,4233916
57,2,3,4235534
58,2,3,4233967
59,2,3,4236398
60,2,3,4235285
61,2,3,6320
1,4,1,4904868
2,4,1,4915384
3,4,1,4920549
4,4,1,4912425
5,4,1,4916919
6,4,1,4914925
7,4,1,4908708
8,4,1,4920161
9,4,1,4919861
10,4,1,4924634
11,4,1,4922543
12,4,1,4920523
13,4,1,4923731
14,4,1,4912362
15,4,1,4937681
16,4,1,4926976
17,4,1,4918158
18,4,1,4913942
19,4,1,4917041
20,4,1,4913266
21,4,1,4922930
22,4,1,4917267
23,4,1,4921663
24,4,1,4920531
25,4,1,4919732
26,4,1,4916669
27,4,1,4919430
28,4,1,4920520
29,4,1,4926535
30,4,1,4924130
31,4,1,4922055
32,4,1,4916643
33,4,1,4927172
34,4,1,4927025
35,4,1,4912830
36,4,1,4918774
37,4,1,4914544
38,4,1,4906746
39,4,1,4925059
40,4,1,4912508
41,4,1,4923819
42,4,1,4929102
43,4,1,4920798
44,4,1,4926021
45,4,1,4924426
46,4,1,4912379
47,4,1,4915880
48,4,1,4917962
49,4,1,4917721
50,4,1,4919382
51,4,1,4920856
52,4,1,4925814
53,4,1,4936424
54,4,1,4912672
55,4,1,4922479
56,4,1,4918562
57,4,1,4917269
58,4,1,4916296
59,4,1,4915994
60,4,1,4914358
61,4,1,15700
1,4,2,4776706
2,4,2,4802862
3,4,2,4791130
4,4,2,4792224
5,4,2,4804527
6,4,2,4803255
7,4,2,4798362
8,4,2,4792053
9,4,2,4799443
10,4,2,4799961
11,4,2,4796627
12,4,2,4797522
13,4,2,4808884
14,4,2,4793404
15,4,2,4800096
16,4,2,4812532
17,4,2,4802636
18,4,2,4802348
19,4,2,4804481
20,4,2,4798059
21,4,2,4797642
22,4,2,4806385
23,4,2,4806158
24,4,2,4798167
25,4,2,4800547
26,4,2,4790220
27,4,2,4791304
28,4,2,4788366
29,4,2,4793044
30,4,2,4795390
31,4,2,4806857
32,4,2,4799076
33,4,2,4791706
34,4,2,4806273
35,4,2,4795450
36,4,2,4807504
37,4,2,4804047
38,4,2,4805717
39,4,2,4810134
40,4,2,4798398
41,4,2,4797733
42,4,2,4795937
43,4,2,4802667
44,4,2,4801435
45,4,2,4799154
46,4,2,4804379
47,4,2,4794035
48,4,2,4808177
49,4,2,4801006
50,4,2,4799989
51,4,2,4805587
52,4,2,4805423
53,4,2,4796847
54,4,2,4794426
55,4,2,4800324
56,4,2,4798504
57,4,2,4801156
58,4,2,4801732
59,4,2,4800146
60,4,2,4797649
61,4,2,7032
1,4,3,4824106
2,4,3,4831632
3,4,3,4828283
4,4,3,4834368
5,4,3,4842114
6,4,3,4824103
7,4,3,4836275
8,4,3,4846112
9,4,3,4835245
10,4,3,4834045
11,4,3,4848810
12,4,3,4839024
13,4,3,4851289
14,4,3,4834812
15,4,3,4837366
16,4,3,4837803
17,4,3,4829847
18,4,3,4832636
19,4,3,4843041
20,4,3,4843231
21,4,3,4836340
22,4,3,4840438
23,4,3,4840019
24,4,3,4841493
25,4,3,4837845
26,4,3,4835056
27,4,3,4834004
28,4,3,4833813
29,4,3,4842463
30,4,3,4845449
31,4,3,4836224
32,4,3,4847938
33,4,3,4846624
34,4,3,4838713
35,4,3,4838857
36,4,3,4841394
37,4,3,4842715
38,4,3,4832498
39,4,3,4847536
40,4,3,4840507
41,4,3,4835321
42,4,3,4832440
43,4,3,4834924
44,4,3,4848999
45,4,3,4845838
46,4,3,4831933
47,4,3,4847129
48,4,3,4837884
49,4,3,4844423
50,4,3,4847334
51,4,3,4839364
52,4,3,4842288
53,4,3,4839677
54,4,3,4844901
55,4,3,4835539
56,4,3,4836763
57,4,3,4849928
58,4,3,4837378
59,4,3,4851190
60,4,3,4841706
61,4,3,10416
1,8,1,7884029
2,8,1,7908652
3,8,1,7920262
4,8,1,7918309
5,8,1,7914872
6,8,1,7919017
7,8,1,7914092
8,8,1,7919646
9,8,1,7927287
10,8,1,7919981
11,8,1,7923409
12,8,1,7921857
13,8,1,7915394
14,8,1,7909614
15,8,1,7913315
16,8,1,7924139
17,8,1,7926410
18,8,1,7924261
19,8,1,7922291
20,8,1,7918032
21,8,1,7922631
22,8,1,7909724
23,8,1,7922012
24,8,1,7930886
25,8,1,7918667
26,8,1,7940350
27,8,1,7925566
28,8,1,7910471
29,8,1,7910137
30,8,1,7909192
31,8,1,7925060
32,8,1,7914033
33,8,1,7924203
34,8,1,7926593
35,8,1,7924227
36,8,1,7925907
37,8,1,7921638
38,8,1,7919552
39,8,1,7921513
40,8,1,7922499
41,8,1,7928030
42,8,1,7926135
43,8,1,7918719
44,8,1,7923060
45,8,1,7924970
46,8,1,7915070
47,8,1,7913924
48,8,1,7915311
49,8,1,7924923
50,8,1,7924102
51,8,1,7921218
52,8,1,7916642
53,8,1,7919710
54,8,1,7912423
55,8,1,7929230
56,8,1,7924185
57,8,1,7909227
58,8,1,7920472
59,8,1,7919990
60,8,1,7921263
61,8,1,21144
1,8,2,7863694
2,8,2,7901247
3,8,2,7891070
4,8,2,7894453
5,8,2,7894558
6,8,2,7899051
7,8,2,7887125
8,8,2,7888682
9,8,2,7890620
10,8,2,7895120
11,8,2,7905889
12,8,2,7897315
13,8,2,7899802
14,8,2,7899405
15,8,2,7903196
16,8,2,7903646
17,8,2,7886471
18,8,2,7889660
19,8,2,7889645
20,8,2,7902881
21,8,2,7891003
22,8,2,7890897
23,8,2,7893729
24,8,2,7890926
25,8,2,7892041
26,8,2,7885082
27,8,2,7899516
28,8,2,7899914
29,8,2,7901112
30,8,2,7891146
31,8,2,7890583
32,8,2,7904123
33,8,2,7902524
34,8,2,7889507
35,8,2,7904721
36,8,2,7898826
37,8,2,7895074
38,8,2,7892279
39,8,2,7897306
40,8,2,7891827
41,8,2,7889427
42,8,2,7900216
43,8,2,7883085
44,8,2,7891669
45,8,2,7889100
46,8,2,7895244
47,8,2,7889268
48,8,2,7895828
49,8,2,7891023
50,8,2,7902204
51,8,2,7905026
52,8,2,7890028
53,8,2,7902491
54,8,2,7898446
55,8,2,7893676
56,8,2,7892293
57,8,2,7889219
58,8,2,7896623
59,8,2,7903509
60,8,2,7889086
61,8,2,22960
1,8,3,6535015
2,8,3,6657817
3,8,3,6541433
4,8,3,6659323
5,8,3,6558195
6,8,3,6607463
7,8,3,6596656
8,8,3,6680717
9,8,3,6568751
10,8,3,6574817
11,8,3,6583400
12,8,3,6622885
13,8,3,6639495
14,8,3,6611640
15,8,3,6560608
16,8,3,6584325
17,8,3,6606922
18,8,3,7078453
19,8,3,7950979
20,8,3,7930260
21,8,3,7933377
22,8,3,7939393
23,8,3,7938534
24,8,3,7926056
25,8,3,7938640
26,8,3,7929857
27,8,3,7931925
28,8,3,7922933
29,8,3,7932596
30,8,3,7925962
31,8,3,7940662
32,8,3,7942841
33,8,3,7938353
34,8,3,7939267
35,8,3,7937084
36,8,3,7946093
37,8,3,7937089
38,8,3,7932341
39,8,3,7943960
40,8,3,7932928
41,8,3,7947601
42,8,3,7937244
43,8,3,7945248
44,8,3,7936516
45,8,3,7937076
46,8,3,7943509
47,8,3,7939658
48,8,3,7932101
49,8,3,7935685
50,8,3,7934403
51,8,3,7936761
52,8,3,7936406
53,8,3,7939429
54,8,3,7940866
55,8,3,7949025
56,8,3,7939477
57,8,3,7938445
58,8,3,7943522
59,8,3,7949090
60,8,3,7937083
61,8,3,28616
1,16,1,10705165
2,16,1,10750604
3,16,1,10768790
4,16,1,10753883
5,16,1,10758161
6,16,1,10767161
7,16,1,10753652
8,16,1,10766387
9,16,1,10763204
10,16,1,10774509
11,16,1,10764896
12,16,1,10753864
13,16,1,10763482
14,16,1,10765272
15,16,1,10754035
16,16,1,10754709
17,16,1,10777854
18,16,1,10756719
19,16,1,10778466
20,16,1,10759037
21,16,1,10761851
22,16,1,10757262
23,16,1,10754610
24,16,1,10783211
25,16,1,10764261
26,16,1,10769849
27,16,1,10764599
28,16,1,10766581
29,16,1,10755052
30,16,1,10748987
31,16,1,10756308
32,16,1,10763846
33,16,1,10752384
34,16,1,10770680
35,16,1,10776553
36,16,1,10768124
37,16,1,10757707
38,16,1,10752128
39,16,1,10759434
40,16,1,10778460
41,16,1,10754075
42,16,1,10756643
43,16,1,10763835
44,16,1,10756805
45,16,1,10759868
46,16,1,10755801
47,16,1,10762974
48,16,1,10759359
49,16,1,10764144
50,16,1,10755504
51,16,1,10757618
52,16,1,10762598
53,16,1,10772645
54,16,1,10762478
55,16,1,10773779
56,16,1,10771753
57,16,1,10766863
58,16,1,10761143
59,16,1,10764279
60,16,1,10774444
61,16,1,55168
1,16,2,11145883
2,16,2,11223932
3,16,2,11225428
4,16,2,11226510
5,16,2,11230153
6,16,2,11231131
7,16,2,11227023
8,16,2,11227865
9,16,2,11228634
10,16,2,11236137
11,16,2,11217276
12,16,2,11218840
13,16,2,11226208
14,16,2,11234455
15,16,2,11228988
16,16,2,11231466
17,16,2,11228767
18,16,2,11218067
19,16,2,11221420
20,16,2,11224327
21,16,2,11219763
22,16,2,11221156
23,16,2,11219814
24,16,2,11226717
25,16,2,11220440
26,16,2,11223602
27,16,2,11211143
28,16,2,11222415
29,16,2,11226177
30,16,2,11222544
31,16,2,11221062
32,16,2,11222130
33,16,2,11226227
34,16,2,11224052
35,16,2,11219273
36,16,2,11225751
37,16,2,11222292
38,16,2,11224272
39,16,2,11211188
40,16,2,11217647
41,16,2,11222607
42,16,2,11224977
43,16,2,11222083
44,16,2,11222231
45,16,2,11221691
46,16,2,11220846
47,16,2,11219697
48,16,2,11220219
49,16,2,11214893
50,16,2,11228998
51,16,2,11222578
52,16,2,11226629
53,16,2,11224448
54,16,2,11223430
55,16,2,11214504
56,16,2,11223005
57,16,2,11222655
58,16,2,11224952
59,16,2,11223779
60,16,2,11223892
61,16,2,64755
1,16,3,10743043
2,16,3,10809945
3,16,3,10806743
4,16,3,10805424
5,16,3,10813724
6,16,3,10810005
7,16,3,10825663
8,16,3,10803652
9,16,3,10805702
10,16,3,10801015
11,16,3,10814684
12,16,3,10822251
13,16,3,10805281
14,16,3,10804407
15,16,3,10833836
16,16,3,10830107
17,16,3,10805902
18,16,3,10817736
19,16,3,10813253
20,16,3,10813762
21,16,3,10811476
