time_sec,clients,run,throughput
1,1,1,1813942
2,1,1,1862766
3,1,1,1798162
4,1,1,1782715
5,1,1,1783989
6,1,1,1709813
7,1,1,1690894
8,1,1,1690665
9,1,1,1691518
10,1,1,1718365
11,1,1,1784478
12,1,1,1784927
13,1,1,1785841
14,1,1,1785029
15,1,1,1785012
16,1,1,1711224
17,1,1,1690544
18,1,1,1691423
19,1,1,1691146
20,1,1,1690398
21,1,1,1690874
22,1,1,1690189
23,1,1,1691716
24,1,1,1690591
25,1,1,1691147
26,1,1,1690728
27,1,1,1690751
28,1,1,1691188
29,1,1,1692034
30,1,1,1690503
31,1,1,1690934
32,1,1,1691409
33,1,1,1691495
34,1,1,1690894
35,1,1,1691131
36,1,1,1691494
37,1,1,1691104
38,1,1,1691073
39,1,1,1691674
40,1,1,1692334
41,1,1,1691945
42,1,1,1691943
43,1,1,1692161
44,1,1,1691745
45,1,1,1692196
46,1,1,1690978
47,1,1,1692124
48,1,1,1692085
49,1,1,1692142
50,1,1,1691701
51,1,1,1691757
52,1,1,1691629
53,1,1,1692406
54,1,1,1692079
55,1,1,1691955
56,1,1,1690752
57,1,1,1692700
58,1,1,1691666
59,1,1,1691966
60,1,1,1691913
61,1,1,2355
1,1,2,1723292
2,1,2,1706399
3,1,2,1706470
4,1,2,1706928
5,1,2,1707387
6,1,2,1708639
7,1,2,1707702
8,1,2,1757555
9,1,2,1798795
10,1,2,1799054
11,1,2,1759395
12,1,2,1708500
13,1,2,1707022
14,1,2,1708904
15,1,2,1707646
16,1,2,1707975
17,1,2,1707688
18,1,2,1707398
19,1,2,1707182
20,1,2,1709538
21,1,2,1707956
22,1,2,1707982
23,1,2,1758035
24,1,2,1798709
25,1,2,1799246
26,1,2,1801494
27,1,2,1758934
28,1,2,1709343
29,1,2,1709343
30,1,2,1709769
31,1,2,1707054
32,1,2,1708292
33,1,2,1709102
34,1,2,1707026
35,1,2,1707585
36,1,2,1708693
37,1,2,1709773
38,1,2,1707964
39,1,2,1707524
40,1,2,1709049
41,1,2,1711203
42,1,2,1708499
43,1,2,1707838
44,1,2,1710250
45,1,2,1707846
46,1,2,1709312
47,1,2,1710405
48,1,2,1758590
49,1,2,1807574
50,1,2,1798648
51,1,2,1798604
52,1,2,1799950
53,1,2,1798283
54,1,2,1799096
55,1,2,1799008
56,1,2,1799644
57,1,2,1799465
58,1,2,1799657
59,1,2,1797557
60,1,2,1799353
61,1,2,2383
1,1,3,1676428
2,1,3,1669027
3,1,3,1589266
4,1,3,1588504
5,1,3,1589748
6,1,3,1589954
7,1,3,1590914
8,1,3,1590760
9,1,3,1591071
10,1,3,1586552
11,1,3,1587647
12,1,3,1589078
13,1,3,1589809
14,1,3,1589541
15,1,3,1592236
16,1,3,1590104
17,1,3,1590223
18,1,3,1592146
19,1,3,1592830
20,1,3,1590956
21,1,3,1591891
22,1,3,1593633
23,1,3,1593598
24,1,3,1591668
25,1,3,1592188
26,1,3,1600861
27,1,3,1590748
28,1,3,1592159
29,1,3,1589565
30,1,3,1590048
31,1,3,1592252
32,1,3,1591687
33,1,3,1591240
34,1,3,1590829
35,1,3,1593501
36,1,3,1593061
37,1,3,1589135
38,1,3,1587929
39,1,3,1590237
40,1,3,1590568
41,1,3,1591247
42,1,3,1592028
43,1,3,1591570
44,1,3,1587042
45,1,3,1591538
46,1,3,1592270
47,1,3,1591422
48,1,3,1590222
49,1,3,1592350
50,1,3,1591231
51,1,3,1592250
52,1,3,1594533
53,1,3,1593199
54,1,3,1591668
55,1,3,1590496
56,1,3,1590432
57,1,3,1591196
58,1,3,1589345
59,1,3,1590770
60,1,3,1591076
61,1,3,1329
1,2,1,3408344
2,2,1,3415974
3,2,1,3417570
4,2,1,3416935
5,2,1,3418440
6,2,1,3419513
7,2,1,3419276
8,2,1,3419303
9,2,1,3420180
10,2,1,3420701
11,2,1,3419217
12,2,1,3419777
13,2,1,3421229
14,2,1,3419875
15,2,1,3421828
16,2,1,3419911
17,2,1,3419500
18,2,1,3419934
19,2,1,3420368
20,2,1,3420743
21,2,1,3421092
22,2,1,3419782
23,2,1,3418651
24,2,1,3420337
25,2,1,3420674
26,2,1,3420167
27,2,1,3420529
28,2,1,3419239
29,2,1,3420423
30,2,1,3420105
31,2,1,3419303
32,2,1,3419339
33,2,1,3419542
34,2,1,3418941
35,2,1,3419856
36,2,1,3418465
37,2,1,3419125
38,2,1,3420336
39,2,1,3420250
40,2,1,3420601
41,2,1,3421425
42,2,1,3420415
43,2,1,3422732
44,2,1,3420475
45,2,1,3421970
46,2,1,3421821
47,2,1,3422052
48,2,1,3421054
49,2,1,3422026
50,2,1,3421531
51,2,1,3421547
52,2,1,3420656
53,2,1,3421475
54,2,1,3421206
55,2,1,3421093
56,2,1,3422188
57,2,1,3421485
58,2,1,3421464
59,2,1,3422181
60,2,1,3420794
61,2,1,5327
1,2,2,3255724
2,2,2,3227108
3,2,2,3226379
4,2,2,3227981
5,2,2,3227632
6,2,2,3229611
7,2,2,3228515
8,2,2,3227999
9,2,2,3227799
10,2,2,3230555
11,2,2,3228562
12,2,2,3230308
13,2,2,3228050
14,2,2,3228346
15,2,2,3229574
16,2,2,3230725
17,2,2,3227833
18,2,2,3229614
19,2,2,3229897
20,2,2,3231482
21,2,2,3229636
22,2,2,3229787
23,2,2,3228473
24,2,2,3230612
25,2,2,3229020
26,2,2,3230026
27,2,2,3228614
28,2,2,3230242
29,2,2,3229646
30,2,2,3230041
31,2,2,3228798
32,2,2,3229968
33,2,2,3228503
34,2,2,3230304
35,2,2,3228706
36,2,2,3229164
37,2,2,3228504
38,2,2,3230563
39,2,2,3228377
40,2,2,3229418
41,2,2,3229394
42,2,2,3232920
43,2,2,3230868
44,2,2,3231607
45,2,2,3229566
46,2,2,3232806
47,2,2,3230138
48,2,2,3231756
49,2,2,3229521
50,2,2,3232147
51,2,2,3229919
52,2,2,3231285
53,2,2,3231231
54,2,2,3232874
55,2,2,3230878
56,2,2,3230967
57,2,2,3230358
58,2,2,3231910
59,2,2,3229331
60,2,2,3231878
61,2,2,5193
1,2,3,3438738
2,2,3,3247637
3,2,3,3246751
4,2,3,3246360
5,2,3,3246762
6,2,3,3246700
7,2,3,3248344
8,2,3,3247434
9,2,3,3248199
10,2,3,3246309
11,2,3,3246433
12,2,3,3247851
13,2,3,3246398
14,2,3,3246224
15,2,3,3246710
16,2,3,3247602
17,2,3,3245581
18,2,3,3246015
19,2,3,3246759
20,2,3,3245575
21,2,3,3249464
22,2,3,3247417
23,2,3,3246318
24,2,3,3244512
25,2,3,3248918
26,2,3,3247240
27,2,3,3246553
28,2,3,3245508
29,2,3,3247477
30,2,3,3246059
31,2,3,3247528
32,2,3,3246414
33,2,3,3247289
34,2,3,3247068
35,2,3,3248022
36,2,3,3247178
37,2,3,3247134
38,2,3,3248442
39,2,3,3245158
40,2,3,3246742
41,2,3,3248570
42,2,3,3247912
43,2,3,3247872
44,2,3,3248055
45,2,3,3248890
46,2,3,3246247
47,2,3,3247840
48,2,3,3246628
49,2,3,3249071
50,2,3,3247957
51,2,3,3247984
52,2,3,3248988
53,2,3,3248543
54,2,3,3247643
55,2,3,3248883
56,2,3,3250183
57,2,3,3249977
58,2,3,3247943
59,2,3,3247436
60,2,3,3249861
61,2,3,5129
1,4,1,4626530
2,4,1,4635499
3,4,1,4638669
4,4,1,4638547
5,4,1,4638676
6,4,1,4643614
7,4,1,4638945
8,4,1,4640077
9,4,1,4645123
10,4,1,4635458
11,4,1,4640645
12,4,1,4641510
13,4,1,4639905
14,4,1,4639076
15,4,1,4643842
16,4,1,4645318
17,4,1,4640940
18,4,1,4641861
19,4,1,4639147
20,4,1,4645761
21,4,1,4638512
22,4,1,4639013
23,4,1,4640593
24,4,1,4645765
25,4,1,4646391
26,4,1,4642363
27,4,1,4640668
28,4,1,4640012
29,4,1,4641851
30,4,1,4644454
31,4,1,4642916
32,4,1,4638604
33,4,1,4646014
34,4,1,4643256
35,4,1,4645217
36,4,1,4647272
37,4,1,4646294
38,4,1,4642698
39,4,1,4642456
40,4,1,4641812
41,4,1,4650818
42,4,1,4642848
43,4,1,4642600
44,4,1,4641948
45,4,1,4641544
46,4,1,4641632
47,4,1,4645014
48,4,1,4643946
49,4,1,4642705
50,4,1,4638761
51,4,1,4637214
52,4,1,4639642
53,4,1,4639428
54,4,1,4639503
55,4,1,4644717
56,4,1,4638507
57,4,1,4649000
58,4,1,4642442
59,4,1,4645953
60,4,1,4641765
61,4,1,8908
1,4,2,4476104
2,4,2,4491136
3,4,2,4489064
4,4,2,4493587
5,4,2,4488525
6,4,2,4489332
7,4,2,4488097
8,4,2,4492214
9,4,2,4492028
10,4,2,4494672
11,4,2,4491070
12,4,2,4492714
13,4,2,4491075
14,4,2,4492712
15,4,2,4492236
16,4,2,4494644
17,4,2,4493999
18,4,2,4496435
19,4,2,4490894
20,4,2,4493806
21,4,2,4491262
22,4,2,4494814
23,4,2,4491054
24,4,2,4492833
25,4,2,4489873
26,4,2,4493000
27,4,2,4490609
28,4,2,4492816
29,4,2,4492931
30,4,2,4495385
31,4,2,4490724
32,4,2,4494883
33,4,2,4491828
34,4,2,4493898
35,4,2,4493136
36,4,2,4493173
37,4,2,4490309
38,4,2,4494032
39,4,2,4490784
40,4,2,4492133
41,4,2,4490939
42,4,2,4492500
43,4,2,4490476
44,4,2,4494290
45,4,2,4491705
46,4,2,4494009
47,4,2,4492950
48,4,2,4492842
49,4,2,4491486
50,4,2,4494110
51,4,2,4491410
52,4,2,4494523
53,4,2,4491831
54,4,2,4494302
55,4,2,4493384
56,4,2,4491556
57,4,2,4490919
58,4,2,4491996
59,4,2,4491377
60,4,2,4494665
61,4,2,9172
1,4,3,4520726
2,4,3,4535000
3,4,3,4535371
4,4,3,4536228
5,4,3,4535401
6,4,3,4535543
7,4,3,4536817
8,4,3,4535544
9,4,3,4541008
10,4,3,4540643
11,4,3,4539012
12,4,3,4540836
13,4,3,4537238
14,4,3,4541504
15,4,3,4540124
16,4,3,4536359
17,4,3,4540710
18,4,3,4539731
19,4,3,4539919
20,4,3,4537818
21,4,3,4541084
22,4,3,4539551
23,4,3,4540656
24,4,3,4539324
25,4,3,4540130
26,4,3,4538304
27,4,3,4543488
28,4,3,4543359
29,4,3,4539403
30,4,3,4540150
31,4,3,4541518
32,4,3,4538485
33,4,3,4539144
34,4,3,4536578
35,4,3,4539422
36,4,3,4539672
37,4,3,4542318
38,4,3,4539419
39,4,3,4537676
40,4,3,4539705
41,4,3,4539145
42,4,3,4535563
43,4,3,4540328
44,4,3,4540585
45,4,3,4540585
46,4,3,4542664
47,4,3,4545179
48,4,3,4541700
49,4,3,4540999
50,4,3,4542858
51,4,3,4542636
52,4,3,4539717
53,4,3,4542786
54,4,3,4536424
55,4,3,4539244
56,4,3,4540578
57,4,3,4538679
58,4,3,4539353
59,4,3,4542093
60,4,3,4542343
61,4,3,6715
1,8,1,7670039
2,8,1,7712924
3,8,1,7720706
4,8,1,7719538
5,8,1,7721224
6,8,1,7717357
7,8,1,7720125
8,8,1,7718183
9,8,1,7722436
10,8,1,7724647
11,8,1,7728480
12,8,1,7722788
13,8,1,7726724
14,8,1,7722067
15,8,1,7727000
16,8,1,7726006
17,8,1,7727156
18,8,1,7723952
19,8,1,7726722
20,8,1,7725856
21,8,1,7726939
22,8,1,7721919
23,8,1,7728534
24,8,1,7724483
25,8,1,7726759
26,8,1,7726307
27,8,1,7726843
28,8,1,7724860
29,8,1,7726972
30,8,1,7725198
