time_sec,clients,run,cpu_usr,cpu_sys,cpu_idle
265,1,2,%usr,%sys,%idle
266,1,2,100.00,0.00,0.00
268,1,2,%usr,%sys,%idle
269,1,2,100.00,0.00,0.00
271,1,2,%usr,%sys,%idle
272,1,2,100.00,0.00,0.00
274,1,2,%usr,%sys,%idle
275,1,2,100.00,0.00,0.00
277,1,2,%usr,%sys,%idle
278,1,2,100.00,0.00,0.00
280,1,2,%usr,%sys,%idle
281,1,2,100.00,0.00,0.00
283,1,2,%usr,%sys,%idle
284,1,2,100.00,0.00,0.00
286,1,2,%usr,%sys,%idle
287,1,2,100.00,0.00,0.00
289,1,2,%usr,%sys,%idle
290,1,2,100.00,0.00,0.00
292,1,2,%usr,%sys,%idle
293,1,2,100.00,0.00,0.00
295,1,2,%usr,%sys,%idle
296,1,2,100.00,0.00,0.00
298,1,2,%usr,%sys,%idle
299,1,2,100.00,0.00,0.00
301,1,2,%usr,%sys,%idle
302,1,2,100.00,0.00,0.00
304,1,2,%usr,%sys,%idle
305,1,2,100.00,0.00,0.00
307,1,2,%usr,%sys,%idle
308,1,2,100.00,0.00,0.00
310,1,2,%usr,%sys,%idle
311,1,2,100.00,0.00,0.00
313,1,2,%usr,%sys,%idle
314,1,2,100.00,0.00,0.00
316,1,2,%usr,%sys,%idle
317,1,2,100.00,0.00,0.00
319,1,2,%usr,%sys,%idle
320,1,2,100.00,0.00,0.00
322,1,2,%usr,%sys,%idle
323,1,2,100.00,0.00,0.00
325,1,2,%usr,%sys,%idle
326,1,2,100.00,0.00,0.00
328,1,2,%usr,%sys,%idle
329,1,2,100.00,0.00,0.00
331,1,2,%usr,%sys,%idle
332,1,2,100.00,0.00,0.00
334,1,2,%usr,%sys,%idle
335,1,2,100.00,0.00,0.00
337,1,2,%usr,%sys,%idle
338,1,2,100.00,0.00,0.00
340,1,2,%usr,%sys,%idle
341,1,2,100.00,0.00,0.00
343,1,2,%usr,%sys,%idle
344,1,2,100.00,0.00,0.00
346,1,2,%usr,%sys,%idle
347,1,2,100.00,0.00,0.00
349,1,2,%usr,%sys,%idle
350,1,2,100.00,0.00,0.00
352,1,2,%usr,%sys,%idle
353,1,2,100.00,0.00,0.00
355,1,2,%usr,%sys,%idle
356,1,2,100.00,0.00,0.00
358,1,2,%usr,%sys,%idle
359,1,2,100.00,0.00,0.00
360,1,3,%usr,%sys,%idle
361,1,3,93.00,0.00,7.00
363,1,3,%usr,%sys,%idle
364,1,3,100.00,0.00,0.00
366,1,3,%usr,%sys,%idle
367,1,3,100.00,0.00,0.00
369,1,3,%usr,%sys,%idle
370,1,3,100.00,0.00,0.00
372,1,3,%usr,%sys,%idle
373,1,3,100.00,0.00,0.00
375,1,3,%usr,%sys,%idle
376,1,3,100.00,0.00,0.00
378,1,3,%usr,%sys,%idle
379,1,3,100.00,0.00,0.00
381,1,3,%usr,%sys,%idle
382,1,3,100.00,0.00,0.00
384,1,3,%usr,%sys,%idle
385,1,3,100.00,0.00,0.00
387,1,3,%usr,%sys,%idle
388,1,3,100.00,0.00,0.00
390,1,3,%usr,%sys,%idle
391,1,3,100.00,0.00,0.00
393,1,3,%usr,%sys,%idle
394,1,3,100.00,0.00,0.00
396,1,3,%usr,%sys,%idle
397,1,3,100.00,0.00,0.00
399,1,3,%usr,%sys,%idle
