clients,queue_size,run,client_id,avg_latency_ns,p50_latency_ns,p99_latency_ns
1,2,1,0,1999.17,1967.35,2839.2
1,2,2,0,1845.07,1840.98,2399.18
1,2,3,0,1855.07,1834.62,2356.45
2,2,1,0,1388.68,1366.41,1718.24
2,2,1,1,1270.95,1257.32,1521.87
2,2,2,0,1295.49,1268.22,1540.05
2,2,2,1,1297.77,1280.95,1593.69
2,2,3,0,1280.04,1250.95,1535.51
2,2,3,1,1272.32,1274.59,1579.15
4,2,1,0,1650.97,1659.15,1999.16
4,2,1,1,1459.6,1443.69,1830.06
4,2,1,2,1478.69,1465.51,1830.97
4,2,1,3,1461.41,1464.6,1830.06
4,2,2,0,1620.05,1611.86,1925.51
4,2,2,1,1440.5,1456.4,1789.14
4,2,2,2,1608.23,1614.59,2001.88
4,2,2,3,1478.68,1490.04,1844.6
4,2,3,0,1630.96,1629.15,1979.16
4,2,3,1,1518.23,1512.78,1905.52
4,2,3,2,1540.96,1528.23,1957.34
4,2,3,3,1529.14,1526.41,1939.16
8,2,1,0,1671.42,1636.42,2008.25
8,2,1,1,1722.34,1670.06,2076.44
8,2,1,2,1574.6,1571.88,1979.16
8,2,1,3,1678.24,1668.24,2080.08
8,2,1,4,1628.24,1619.15,2050.98
8,2,1,5,1684.15,1667.33,2111.9
8,2,1,6,1647.79,1640.97,2098.26
8,2,1,7,1638.24,1622.79,2080.98
8,2,2,0,1582.78,1594.59,1951.88
8,2,2,1,1626.41,1625.51,2003.7
8,2,2,2,1576.87,1571.87,1968.24
8,2,2,3,1619.14,1609.14,2010.06
8,2,2,4,1598.69,1592.78,2004.61
8,2,2,5,1608.69,1594.59,2016.43
8,2,2,6,1574.59,1564.59,1996.43
8,2,2,7,1646.41,1637.32,2038.25
8,2,3,0,1635.06,1617.33,1983.71
8,2,3,1,1636.42,1632.78,2015.53
8,2,3,2,1569.15,1562.78,1964.61
8,2,3,3,1630.06,1620.97,2018.25
8,2,3,4,1631.88,1629.15,2033.71
8,2,3,5,1628.69,1621.88,2038.25
8,2,3,6,1605.06,1600.06,2022.8
8,2,3,7,1659.15,1650.06,2060.07
16,2,1,0,2112.8,2043.71,2441.91
16,2,1,1,2205.08,2114.62,2511.91
16,2,1,2,2044.62,2050.98,2470.09
16,2,1,3,2130.53,2137.35,2535.54
16,2,1,4,2075.98,2086.44,2482.82
16,2,1,5,2140.53,2150.08,2545.55
16,2,1,6,2061.89,2072.8,2464.63
16,2,1,7,2082.35,2090.98,2474.63
16,2,1,8,2065.53,2080.07,2460.09
16,2,1,9,2106.89,2116.44,2499.18
16,2,1,10,2075.98,2083.71,2486.45
16,2,1,11,2092.8,2104.62,2501
16,2,1,12,2122.8,2134.62,2527.36
16,2,1,13,2127.8,2136.44,2531
16,2,1,14,2076.89,2086.44,2480.09
16,2,1,15,2067.8,2077.35,2482.82
16,2,2,0,2110.54,2035.53,2442.82
16,2,2,1,2003.26,2009.17,2409.19
16,2,2,2,2025.99,2032.81,2427.37
16,2,2,3,2022.81,2031.9,2421.91
16,2,2,4,2031.9,2043.72,2437.37
16,2,2,5,2057.81,2062.81,2461.01
16,2,2,6,1995.99,2008.26,2397.37
16,2,2,7,2047.81,2060.99,2447.37
16,2,2,8,2040.08,2052.81,2443.73
16,2,2,9,2028.26,2039.17,2430.1
16,2,2,10,2004.17,2017.35,2404.64
16,2,2,11,2082.81,2092.81,2487.37
16,2,2,12,2003.71,2019.17,2408.28
16,2,2,13,2075.54,2088.26,2487.37
16,2,2,14,2058.26,2071.9,2477.37
16,2,2,15,2044.17,2054.63,2471.01
16,2,3,0,2104.63,2000.99,2396.46
16,2,3,1,2193.72,2104.63,2481
16,2,3,2,2002.8,2012.8,2412.82
16,2,3,3,2119.17,2127.35,2522.82
16,2,3,4,2017.8,2030.08,2421.91
16,2,3,5,2100.99,2110.08,2491
16,2,3,6,2030.08,2042.81,2428.27
16,2,3,7,2032.81,2044.62,2424.64
