clients,queue_size,run,client_id,avg_latency_ns,p50_latency_ns,p99_latency_ns
1,1024,1,0,435505,428505,624535
1,1024,2,0,448169,446862,457572
1,1024,3,0,467736,462107,674114
2,1024,1,0,599635,598917,609276
2,1024,1,1,599588,598860,609183
2,1024,2,0,574192,573713,582017
2,1024,2,1,574076,573636,582003
2,1024,3,0,574347,573859,582432
2,1024,3,1,574179,573699,582246
4,1024,1,0,726359,725673,737568
4,1024,1,1,726197,725509,737380
4,1024,1,2,726147,725494,737343
4,1024,1,3,726213,725566,737365
4,1024,2,0,713863,713158,724119
4,1024,2,1,713724,713059,724029
4,1024,2,2,713723,713078,724000
4,1024,2,3,713783,713086,724108
4,1024,3,0,722441,721915,731150
4,1024,3,1,722282,721769,731070
4,1024,3,2,722287,721758,730902
4,1024,3,3,722375,721823,731040
8,1024,1,0,1.18867e+06,1.18757e+06,1.21992e+06
8,1024,1,1,1.18862e+06,1.18751e+06,1.21995e+06
8,1024,1,2,1.18846e+06,1.18745e+06,1.2199e+06
8,1024,1,3,1.18842e+06,1.18738e+06,1.21979e+06
8,1024,1,4,1.18843e+06,1.18744e+06,1.21995e+06
8,1024,1,5,1.18839e+06,1.18741e+06,1.21976e+06
8,1024,1,6,1.18845e+06,1.18745e+06,1.2199e+06
8,1024,1,7,1.1884e+06,1.18738e+06,1.21972e+06
8,1024,2,0,1.0142e+06,1.01074e+06,1.23006e+06
8,1024,2,1,1.01418e+06,1.01061e+06,1.22986e+06
8,1024,2,2,1.014e+06,1.01056e+06,1.22979e+06
8,1024,2,3,1.01417e+06,1.01068e+06,1.22983e+06
8,1024,2,4,1.0141e+06,1.01063e+06,1.22971e+06
8,1024,2,5,1.01403e+06,1.01058e+06,1.22975e+06
8,1024,2,6,1.01414e+06,1.01064e+06,1.22998e+06
8,1024,2,7,1.01411e+06,1.01065e+06,1.22963e+06
8,1024,3,0,1.23365e+06,1.23304e+06,1.24403e+06
8,1024,3,1,1.23363e+06,1.23298e+06,1.24402e+06
8,1024,3,2,1.23367e+06,1.23297e+06,1.24369e+06
8,1024,3,3,1.23371e+06,1.23304e+06,1.24401e+06
8,1024,3,4,1.23362e+06,1.23296e+06,1.24398e+06
8,1024,3,5,1.23359e+06,1.23289e+06,1.24377e+06
8,1024,3,6,1.23358e+06,1.23295e+06,1.24396e+06
8,1024,3,7,1.23362e+06,1.23296e+06,1.24405e+06
16,1024,1,0,1.83698e+06,1.83646e+06,1.85248e+06
16,1024,1,1,1.83694e+06,1.83644e+06,1.85244e+06
16,1024,1,2,1.83699e+06,1.83635e+06,1.85247e+06
16,1024,1,3,1.83695e+06,1.83639e+06,1.85239e+06
16,1024,1,4,1.83695e+06,1.83638e+06,1.85239e+06
16,1024,1,5,1.83693e+06,1.83636e+06,1.85235e+06
16,1024,1,6,1.83695e+06,1.83647e+06,1.8524e+06
16,1024,1,7,1.83708e+06,1.83641e+06,1.85244e+06
16,1024,1,8,1.83683e+06,1.8364e+06,1.85227e+06
16,1024,1,9,1.83699e+06,1.83641e+06,1.85238e+06
16,1024,1,10,1.83691e+06,1.83641e+06,1.85238e+06
16,1024,1,11,1.83691e+06,1.83638e+06,1.8522e+06
16,1024,1,12,1.8368e+06,1.83634e+06,1.85232e+06
16,1024,1,13,1.83689e+06,1.83644e+06,1.85261e+06
