time_sec,clients,run,throughput
36,2,2,3569096
37,2,2,3565852
38,2,2,3569268
39,2,2,3566856
40,2,2,3569051
41,2,2,3566616
42,2,2,3569900
43,2,2,3568140
44,2,2,3568518
45,2,2,3568244
46,2,2,3568714
47,2,2,3566788
48,2,2,3569000
49,2,2,3566608
50,2,2,3568698
51,2,2,3567770
52,2,2,3568452
53,2,2,3568616
54,2,2,3570108
55,2,2,3566620
56,2,2,3569584
57,2,2,3567428
58,2,2,3569628
59,2,2,3568478
60,2,2,3569988
61,2,2,3146
1,2,3,3550168
2,2,3,3569470
3,2,3,3571632
4,2,3,3570742
5,2,3,3570978
6,2,3,3568682
7,2,3,3567882
8,2,3,3568485
9,2,3,3569898
10,2,3,3570109
11,2,3,3572916
12,2,3,3571047
13,2,3,3571585
14,2,3,3568927
15,2,3,3572394
16,2,3,3572818
17,2,3,3573987
18,2,3,3572648
19,2,3,3573937
20,2,3,3570620
21,2,3,3571734
22,2,3,3570734
23,2,3,3571958
24,2,3,3570560
25,2,3,3571702
26,2,3,3571558
27,2,3,3572050
28,2,3,3569384
29,2,3,3569854
30,2,3,3569489
31,2,3,3569384
32,2,3,3568232
33,2,3,3571031
34,2,3,3572212
35,2,3,3572610
36,2,3,3571766
37,2,3,3571299
38,2,3,3571141
39,2,3,3571476
40,2,3,3570196
41,2,3,3572054
42,2,3,3570824
43,2,3,3571632
44,2,3,3571028
45,2,3,3571160
46,2,3,3570652
47,2,3,3570808
48,2,3,3570240
49,2,3,3571476
50,2,3,3569652
51,2,3,3570514
52,2,3,3569502
53,2,3,3570164
54,2,3,3569720
55,2,3,3569816
56,2,3,3569970
57,2,3,3572016
58,2,3,3571108
59,2,3,3570366
60,2,3,3568122
61,2,3,12694
1,4,1,5618326
2,4,1,5643203
3,4,1,5637475
4,4,1,5644034
5,4,1,5641651
6,4,1,5640004
7,4,1,5642236
8,4,1,5645312
9,4,1,5643504
10,4,1,5647072
11,4,1,5642165
12,4,1,5642722
13,4,1,5643164
14,4,1,5644407
15,4,1,5640767
16,4,1,5644695
17,4,1,5641564
18,4,1,5644284
19,4,1,5641140
20,4,1,5645356
21,4,1,5642964
22,4,1,5645168
23,4,1,5644215
24,4,1,5645978
25,4,1,5642437
26,4,1,5645033
27,4,1,5639608
28,4,1,5644302
29,4,1,5641280
30,4,1,5641467
31,4,1,5639392
32,4,1,5642839
33,4,1,5637923
34,4,1,5642191
35,4,1,5641076
36,4,1,5642880
37,4,1,5641120
38,4,1,5644143
39,4,1,5639666
40,4,1,5643024
41,4,1,5639734
42,4,1,5639781
43,4,1,5640144
44,4,1,5643372
