clients,queue_size,run,cpu0_freq_MHz
1,1024,1,2002
1,1024,2,2002
1,1024,3,2000
2,1024,1,1997
2,1024,2,2001
2,1024,3,2000
4,1024,1,2000
4,1024,2,2000
4,1024,3,2000
8,1024,1,1873
8,1024,2,2000
8,1024,3,2001
16,1024,1,1997
16,1024,2,2000
16,1024,3,2000
32,1024,1,2000
32,1024,2,1994
32,1024,3,2001
64,1024,1,2000
64,1024,2,2003
64,1024,3,1999
