clients,queue_size,run,client_id,avg_latency_ns,p50_latency_ns,p99_latency_ns
32,2,1,27,7706.61,8016.62,9647.59
32,2,1,28,7569.34,7868.44,9537.58
32,2,1,29,7767.07,8079.35,9714.86
32,2,1,30,7748.43,8093.9,9714.86
32,2,1,31,7626.61,7942.99,9585.77
32,2,2,0,6698.46,7194.84,9030.37
32,2,2,1,6861.65,7342.12,9275.84
32,2,2,2,6917.1,7433.03,9318.56
32,2,2,3,6795.73,7265.75,9142.19
32,2,2,4,6752.55,7249.39,9114.01
32,2,2,5,6832.55,7343.94,9165.83
32,2,2,6,6725.73,7212.11,9068.55
32,2,2,7,6958.47,7464.85,9310.38
32,2,2,8,7029.83,7576.67,9444.93
32,2,2,9,6965.29,7504.85,9331.29
32,2,2,10,6933.92,7493.94,9254.02
32,2,2,11,6678.91,7163.93,9008.55
32,2,2,12,6948.47,7480.31,9344.02
32,2,2,13,6980.29,7516.67,9319.47
32,2,2,14,6793.46,7310.3,9154.01
32,2,2,15,6791.19,7288.48,9204.92
32,2,2,16,6896.19,7429.4,9242.2
32,2,2,17,7046.65,7591.22,9479.48
32,2,2,18,6855.28,7387.58,9216.74
32,2,2,19,6778.91,7276.66,9118.56
32,2,2,20,6781.19,7301.21,9167.65
32,2,2,21,6917.1,7441.21,9314.02
32,2,2,22,6884.37,7416.67,9233.11
32,2,2,23,6795.28,7289.39,9135.83
32,2,2,24,6670.27,7166.66,9029.46
32,2,2,25,6958.47,7484.85,9341.29
32,2,2,26,6986.65,7522.13,9402.2
32,2,2,27,6793.46,7334.85,9146.74
32,2,2,28,6707.55,7181.2,9084.01
32,2,2,29,6916.65,7434.85,9300.38
32,2,2,30,6925.28,7465.76,9268.56
32,2,2,31,6760.73,7290.3,9114.92
32,2,3,0,7617.09,7973.92,9639.44
32,2,3,1,7735.28,8160.29,9929.45
32,2,3,2,7761.19,8188.48,9885.81
32,2,3,3,7625.73,8048.47,9733.08
32,2,3,4,7579.82,7974.83,9647.62
32,2,3,5,7649.82,8084.84,9701.26
32,2,3,6,7566.64,7942.11,9679.44
32,2,3,7,7784.83,8205.75,9903.09
32,2,3,8,7889.83,8333.94,10045.8
32,2,3,9,7703.91,8127.57,9820.35
32,2,3,10,7622.55,8049.38,9718.53
32,2,3,11,7611.64,8032.11,9753.08
32,2,3,12,7717.1,8157.57,9828.54
32,2,3,13,7750.28,8198.48,9904.9
32,2,3,14,7674.37,8112.11,9773.08
32,2,3,15,7523,7961.2,9611.26
32,2,3,16,7830.28,8280.3,9911.27
32,2,3,17,7779.37,8240.3,9933.09
32,2,3,18,7832.56,8290.3,9944
32,2,3,19,7670.28,8081.2,9753.08
32,2,3,20,7548.45,7973.92,9645.8
32,2,3,21,7816.65,8247.57,9937.63
32,2,3,22,7961.2,8143.93,9795.81
32,2,3,23,7672.1,8100.29,9742.17
32,2,3,24,7454.81,7883.92,9544.89
32,2,3,25,7822.56,8281.21,9924.9
32,2,3,26,7788.46,8218.48,9940.36
32,2,3,27,7558.45,7983.02,9639.44
32,2,3,28,7468,7876.65,9529.44
32,2,3,29,7877.1,8363.03,10010.4
32,2,3,30,7727.1,8136.66,9822.17
32,2,3,31,7647.09,8083.93,9793.99
64,2,1,0,14283.8,14182.4,16140.7
64,2,1,1,14444.2,14385.2,16453.4
64,2,1,2,14442,14329.7,16357.1
64,2,1,3,14385.2,14305.2,16448.9
64,2,1,4,14242.4,14189.7,16240.7
64,2,1,5,14312.4,14239.7,16264.3
64,2,1,6,14213.8,14146.1,16224.3
64,2,1,7,14453.8,14409.7,16358
64,2,1,8,14432,14389.7,16368
64,2,1,9,14418.8,14346.1,16493.4
64,2,1,10,14320.2,14270.6,16200.7
64,2,1,11,14137,14094.2,16088
64,2,1,12,14512,14449.7,16406.1
64,2,1,13,14384.7,14354.2,16264.3
64,2,1,14,14333.3,14290.6,16332.5
64,2,1,15,14152.9,14141.5,16136.1
64,2,1,16,14547,14496.1,16600.7
64,2,1,17,14482,14419.7,16479.8
64,2,1,18,14458.8,14381.5,16404.3
64,2,1,19,14573.3,14309.7,16320.7
64,2,1,20,14207,14183.3,16188
64,2,1,21,14508.8,14422.4,16503.4
64,2,1,22,14509.3,14467,16560.7
64,2,1,23,14296.5,14239.7,16428
64,2,1,24,14288.8,14165.1,16240.7
64,2,1,25,15241.1,14417.9,16386.1
64,2,1,26,14392,14339.7,16238.9
64,2,1,27,14337.4,14293.3,16389.8
64,2,1,28,14206.5,14168.8,16195.2
64,2,1,29,14559.7,14338.8,16349.8
64,2,1,30,14636.1,14359.7,16411.6
64,2,1,31,14339.7,14284.2,16415.2
64,2,1,32,14133.3,14086.1,16115.2
64,2,1,33,14196.1,14111.5,16191.6
64,2,1,34,14437.9,14379.7,16477.1
64,2,1,35,14401.1,14358.8,16307.1
64,2,1,36,14275.2,14225.1,16388
64,2,1,37,14193.3,14132.4,16107
64,2,1,38,14410.2,14348.8,16288
64,2,1,39,14450.6,14409.7,16344.3
64,2,1,40,14397,14340.6,16215.2
64,2,1,41,14187.9,14146.1,16054.3
64,2,1,42,14386.5,14344.2,16327.1
64,2,1,43,14412,14337.9,16343.4
64,2,1,44,14275.2,14239.7,16274.3
64,2,1,45,14201.1,14143.3,16213.4
64,2,1,46,14461.1,14418.8,16406.1
64,2,1,47,14398.8,14310.6,16330.7
64,2,1,48,14261.5,14222.4,16238
64,2,1,49,14270.6,14185.1,16389.8
64,2,1,50,14412.4,14374.2,16323.4
64,2,1,51,14415.6,14375.2,16467.1
64,2,1,52,14335.2,14320.6,16342.5
64,2,1,53,14226.1,14173.3,16222.5
64,2,1,54,14334.7,14299.7,16319.8
64,2,1,55,14417.9,14370.6,16272.5
64,2,1,56,14305.6,14273.3,16358.9
64,2,1,57,14157.4,14122.4,16085.2
64,2,1,58,14492.4,14415.2,16486.2
64,2,1,59,14432.4,14357,16423.4
64,2,1,60,14333.8,14306.1,16351.6
64,2,1,61,14205.6,14137,16201.6
64,2,1,62,14463.3,14415.2,16489.8
64,2,1,63,14390.2,14364.2,16297.1
64,2,2,0,14496.9,14335.1,16435.1
64,2,2,1,14671.9,14607.8,16593.3
64,2,2,2,14619.6,14546.9,16580.6
64,2,2,3,14559.2,14476,16564.2
64,2,2,4,14405.1,14339.6,16403.3
64,2,2,5,14488.2,14461.4,16356
64,2,2,6,14410.5,14343.2,16348.8
64,2,2,7,14601,14566,16595.1
64,2,2,8,14545.1,14509.6,16493.3
64,2,2,9,14651.4,14591.4,16644.2
64,2,2,10,14582.3,14505.1,16480.6
64,2,2,11,14373.2,14348.7,16304.2
64,2,2,12,14578.3,14541.4,16546.1
64,2,2,13,14643.7,14571.4,16680.6
64,2,2,14,14535.5,14454.2,16408.8
64,2,2,15,14477.3,14379.6,16383.3
64,2,2,16,14892.8,14604.2,16667.9
64,2,2,17,14674.2,14626,16584.2
64,2,2,18,14688.3,14611.4,16623.3
64,2,2,19,14508.7,14425.1,16542.4
64,2,2,20,14349.2,14315.1,16383.3
64,2,2,21,14746.4,14686,16747.9
64,2,2,22,14806.9,14542.3,16469.7
64,2,2,23,14467.3,14408.7,16387
64,2,2,24,14356.9,14295.1,16390.6
64,2,2,25,14591.9,14522.3,16619.7
64,2,2,26,14631,14561.4,16614.2
64,2,2,27,14455.1,14410.5,16493.3
64,2,2,28,14346.9,14290.5,16286
64,2,2,29,14639.2,14580.5,16625.1
64,2,2,30,14608.3,14554.2,16467
64,2,2,31,14450.5,14393.2,16317.9
64,2,2,32,14335.1,14321.4,16221.5
64,2,2,33,14367.8,14310.5,16406
64,2,2,34,14655.5,14588.7,16592.4
64,2,2,35,14527.3,14490.5,16390.6
64,2,2,36,14520.5,14461.4,16461.5
64,2,2,37,14430.5,14261.4,16297.9
64,2,2,38,14582.3,14530.5,16478.8
64,2,2,39,14618.7,14582.3,16568.8
64,2,2,40,14515.5,14457.8,16310.6
64,2,2,41,14355.1,14306.9,16296
64,2,2,42,14648.3,14580.5,16637.9
64,2,2,43,14607.3,14516,16522.4
64,2,2,44,14536.9,14466.9,16479.7
64,2,2,45,14408.7,14348.7,16332.4
