time_sec,clients,run,throughput
36,2,2,4560852
37,2,2,4562690
38,2,2,4561430
39,2,2,4561832
40,2,2,4559446
41,2,2,4563394
42,2,2,4560070
43,2,2,4561552
44,2,2,4558746
45,2,2,4559271
46,2,2,4559459
47,2,2,4559341
48,2,2,4560144
49,2,2,4562980
50,2,2,4559712
51,2,2,4563404
52,2,2,4558282
53,2,2,4560789
54,2,2,4558598
55,2,2,4556806
56,2,2,4555505
57,2,2,4558420
58,2,2,4555048
59,2,2,4558270
60,2,2,4555836
61,2,2,6580
1,2,3,4233740
2,2,3,4249162
3,2,3,4246971
4,2,3,4252222
5,2,3,4250443
6,2,3,4253260
7,2,3,4252315
8,2,3,4253729
9,2,3,4251675
10,2,3,4253068
11,2,3,4250103
12,2,3,4250912
13,2,3,4250285
14,2,3,4251928
15,2,3,4253021
16,2,3,4249587
17,2,3,4247069
18,2,3,4250512
19,2,3,4247726
20,2,3,4248049
21,2,3,4248801
22,2,3,4249389
23,2,3,4249179
24,2,3,4249485
25,2,3,4248608
26,2,3,4246623
27,2,3,4247400
28,2,3,4248174
29,2,3,4245674
30,2,3,4246733
31,2,3,4246206
32,2,3,4248196
33,2,3,4245371
34,2,3,4247352
35,2,3,4245585
36,2,3,4246324
37,2,3,4247715
38,2,3,4246449
39,2,3,4247511
40,2,3,4249421
41,2,3,4247663
42,2,3,4250557
43,2,3,4245883
44,2,3,4249030
45,2,3,4245625
46,2,3,4245356
47,2,3,4250223
48,2,3,4247392
49,2,3,4244451
50,2,3,4246183
51,2,3,4247019
52,2,3,4247567
53,2,3,4247869
54,2,3,4246991
55,2,3,4245779
56,2,3,4250024
57,2,3,4248777
58,2,3,4249437
59,2,3,4248730
60,2,3,4250682
61,2,3,3770
1,4,1,4819610
2,4,1,4833922
3,4,1,4835612
4,4,1,4835669
5,4,1,4834255
6,4,1,4834976
7,4,1,4834815
8,4,1,4838313
9,4,1,4837363
10,4,1,4839018
11,4,1,4835565
12,4,1,4837499
13,4,1,4835992
14,4,1,4837824
15,4,1,4836061
16,4,1,4837175
17,4,1,4837440
18,4,1,4836632
19,4,1,4833554
20,4,1,4838798
21,4,1,4836214
22,4,1,4837432
23,4,1,4837502
24,4,1,4838372
25,4,1,4836401
26,4,1,4838975
27,4,1,4838347
28,4,1,4836739
29,4,1,4838934
30,4,1,4839903
31,4,1,4836546
32,4,1,4837374
33,4,1,4835288
34,4,1,4835894
35,4,1,4835027
36,4,1,4835998
37,4,1,4835536
38,4,1,4837624
39,4,1,4836428
40,4,1,4839673
41,4,1,4836184
